,Unnamed: 0,Xm,Ym,Zm,cont,datetime,dry wt (mg),fresh wt (mg),image_num,leaf_area,norm_area,name,position,tray
59,5166,0.1147473,0.1210431,0.0731614,0.4989473,2016-01-09:09-05-50,2,14.2,1208,54881,0.275901767,PSI_Tray033_2016-01-09--09-05-50_top_4-5_1208.png,p-20,33
60,5268,0.1115138,0.1370925,0.03578645,0.03872779,2016-01-18:09-05-40,170,235.3,1674,161624,0.812527964,PSI_Tray034_2016-01-18--09-05-40_top_1-1_1674.png,p-1,34
61,5347,0.1022622,0.1085446,0.06560126,0.5679707,2016-01-10:09-06-54,30,38.8,1257,54426,0.273614358,PSI_Tray034_2016-01-10--09-06-54_top_1-2_1257.png,p-2,34
62,5449,0.1318741,0.1619924,0.041218,0.02668742,2016-01-18:09-05-40,130,182.6,1674,163090,0.819897946,PSI_Tray034_2016-01-18--09-05-40_top_1-3_1674.png,p-3,34
63,5542,0.1211132,0.1496981,0.03637839,0.03758804,2016-01-15:10-06-15,150,184,1521,170621,0.857758339,PSI_Tray034_2016-01-15--10-06-15_top_1-4_1521.png,p-4,34
64,5644,0.107333,0.1320282,0.03587839,0.04119309,2016-01-18:09-05-40,200,262.8,1674,165100,0.830002765,PSI_Tray034_2016-01-18--09-05-40_top_1-5_1674.png,p-5,34
65,5726,0.09636199,0.1022628,0.06188493,0.5968777,2016-01-11:09-13-38,8,131.6,1308,59787,0.300565568,PSI_Tray034_2016-01-11--09-13-38_top_2-1_1308.png,p-6,34
66,5828,0.1230327,0.1533618,0.03798582,0.0310492,2016-01-18:09-05-40,240,317.5,1674,178798,0.89886635,PSI_Tray034_2016-01-18--09-05-40_top_2-2_1674.png,p-7,34
67,5903,0.1068167,0.112434,0.07069707,0.5401355,2016-01-08:17-29-03,3,32.1,1191,77023,0.387215645,PSI_Tray034_2016-01-08--17-29-03_top_2-3_1191.png,p-8,34
68,6005,0.1206012,0.1493189,0.03740992,0.03887548,2016-01-18:09-05-40,220,288.7,1674,178832,0.899037277,PSI_Tray034_2016-01-18--09-05-40_top_2-4_1674.png,p-9,34
69,6087,0.1255024,0.1545953,0.03548611,0.03740843,2016-01-11:09-13-38,70,88.6,1308,114895,0.577608526,PSI_Tray034_2016-01-11--09-13-38_top_2-5_1308.png,p-10,34
70,6189,0.1221903,0.1501251,0.04008682,0.02937143,2016-01-18:09-05-40,180,243.7,1674,172000,0.864690948,PSI_Tray034_2016-01-18--09-05-40_top_3-1_1674.png,p-11,34
71,6271,0.1293727,0.1580796,0.0386011,0.04201075,2016-01-11:09-13-38,70,87.5,1308,113993,0.573073926,PSI_Tray034_2016-01-11--09-13-38_top_3-2_1308.png,p-12,34
72,6373,0.1243564,0.1550312,0.03741125,0.03452783,2016-01-18:09-05-40,260,344.7,1674,183503,0.922519669,PSI_Tray034_2016-01-18--09-05-40_top_3-3_1674.png,p-13,34
73,6442,0.1181967,0.1242764,0.07836953,0.56719,2016-01-06:17-31-14,50,58.3,1090,62411,0.313757132,PSI_Tray034_2016-01-06--17-31-14_top_3-4_1090.png,p-14,34
74,6544,0.1119955,0.1395533,0.03400659,0.0531844,2016-01-18:09-05-40,340,439.8,1674,174236,0.875931931,PSI_Tray034_2016-01-18--09-05-40_top_3-5_1674.png,p-15,34
75,6637,0.1222289,0.1485394,0.0402641,0.03890464,2016-01-15:10-06-15,160,213,1521,166265,0.835859538,PSI_Tray034_2016-01-15--10-06-15_top_4-1_1521.png,p-16,34
76,6739,0.1272763,0.1553778,0.04308533,0.03315296,2016-01-18:09-05-40,220,295.6,1674,171299,0.86116683,PSI_Tray034_2016-01-18--09-05-40_top_4-2_1674.png,p-17,34
77,6809,0.1314774,0.137208,0.08855375,0.6056386,2016-01-07:09-06-44,9,138.7,1104,47174,0.237156574,PSI_Tray034_2016-01-07--09-06-44_top_4-3_1104.png,p-18,34
78,6911,0.1180749,0.1461775,0.03866832,0.03932644,2016-01-18:09-05-40,320,422.1,1674,174178,0.875640349,PSI_Tray034_2016-01-18--09-05-40_top_4-4_1674.png,p-19,34
79,6980,0.09202389,0.09595923,0.06072476,0.4809941,2016-01-06:17-31-14,3,47.2,1090,89337,0.449121484,PSI_Tray034_2016-01-06--17-31-14_top_4-5_1090.png,p-20,34
